"ref","movement","filename","relative_path","operational_status","delivery_mode","exists","width","height","dimensions_ok"
"REF_012","54","yoga_stress_012_054_postura_restaurativa_supina_provavel_step_04_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_054_postura_restaurativa_supina_provavel_step_04_common_mistake.png","CONFIRMAR_ANTES_DE_GERAR","check_before_generate","True","1448","1086","False"
"REF_012","54","yoga_stress_012_054_postura_restaurativa_supina_provavel_step_05_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_054_postura_restaurativa_supina_provavel_step_05_correction.png","CONFIRMAR_ANTES_DE_GERAR","check_before_generate","True","1536","1024","True"
"REF_012","55","yoga_stress_012_055_makarasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_055_makarasana_step_01_start.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","55","yoga_stress_012_055_makarasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_055_makarasana_step_02_entry.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","55","yoga_stress_012_055_makarasana_step_03_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_055_makarasana_step_03_final.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","55","yoga_stress_012_055_makarasana_step_04_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_055_makarasana_step_04_common_mistake.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","55","yoga_stress_012_055_makarasana_step_05_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_055_makarasana_step_05_correction.png","GERAR_NOVO_CANONICO","generated_new","True","1536","1024","True"
"REF_012","56","yoga_stress_012_056_supta_baddha_konasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_056_supta_baddha_konasana_step_01_start.png","REUTILIZAR REF_004","reuse_or_link","True","1448","1086","False"
"REF_012","56","yoga_stress_012_056_supta_baddha_konasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_056_supta_baddha_konasana_step_02_entry.png","REUTILIZAR REF_004","reuse_or_link","True","1448","1086","False"
"REF_012","56","yoga_stress_012_056_supta_baddha_konasana_step_03_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_056_supta_baddha_konasana_step_03_final.png","REUTILIZAR REF_004","reuse_or_link","True","1254","1254","False"
"REF_012","56","yoga_stress_012_056_supta_baddha_konasana_step_04_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_056_supta_baddha_konasana_step_04_common_mistake.png","REUTILIZAR REF_004","reuse_or_link","True","1448","1086","False"
"REF_012","56","yoga_stress_012_056_supta_baddha_konasana_step_05_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_056_supta_baddha_konasana_step_05_correction.png","REUTILIZAR REF_004","reuse_or_link","True","1448","1086","False"
"REF_012","57","yoga_stress_012_057_savasana_step_01_start.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_057_savasana_step_01_start.png","CONFERIR / REUTILIZAR se Savasana neutro existir","reuse_or_link","True","1536","1024","True"
"REF_012","57","yoga_stress_012_057_savasana_step_02_entry.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_057_savasana_step_02_entry.png","CONFERIR / REUTILIZAR se Savasana neutro existir","reuse_or_link","True","1536","1024","True"
"REF_012","57","yoga_stress_012_057_savasana_step_03_final.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_057_savasana_step_03_final.png","CONFERIR / REUTILIZAR se Savasana neutro existir","reuse_or_link","True","1536","1024","True"
"REF_012","57","yoga_stress_012_057_savasana_step_04_common_mistake.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_057_savasana_step_04_common_mistake.png","CONFERIR / REUTILIZAR se Savasana neutro existir","reuse_or_link","True","1536","1024","True"
"REF_012","57","yoga_stress_012_057_savasana_step_05_correction.png","public/instructional-images/yoga/stress-relief-50-asanas/yoga_stress_012_057_savasana_step_05_correction.png","CONFERIR / REUTILIZAR se Savasana neutro existir","reuse_or_link","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_01_start.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_01_start.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_02_hand_connection.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_02_hand_connection.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_03_partner_pull.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_03_partner_pull.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_04_final.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_04_final.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_05_common_mistake.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_05_common_mistake.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","1","partner_yoga_001_seesaw_pose_step_06_correction.png","public/instructional-images/yoga/partner-poses/partner_yoga_001_seesaw_pose_step_06_correction.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_01_start.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_01_start.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_02_forward_partner.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_02_forward_partner.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_03_backbend_partner.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_03_backbend_partner.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_04_final.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_04_final.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_05_common_mistake.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_05_common_mistake.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","2","partner_yoga_002_sukhasana_anuvittasana_step_06_correction.png","public/instructional-images/yoga/partner-poses/partner_yoga_002_sukhasana_anuvittasana_step_06_correction.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_01_back_to_back.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_01_back_to_back.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_02_feet_setup.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_02_feet_setup.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_03_descend.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_03_descend.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_04_final.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_04_final.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_05_common_mistake.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_05_common_mistake.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","3","partner_yoga_003_utkatasana_partner_step_06_correction.png","public/instructional-images/yoga/partner-poses/partner_yoga_003_utkatasana_partner_step_06_correction.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","4","partner_yoga_004_malasana_partner_step_01_facing_stand.png","public/instructional-images/yoga/partner-poses/partner_yoga_004_malasana_partner_step_01_facing_stand.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","4","partner_yoga_004_malasana_partner_step_02_hand_connection.png","public/instructional-images/yoga/partner-poses/partner_yoga_004_malasana_partner_step_02_hand_connection.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
"REF_013","4","partner_yoga_004_malasana_partner_step_03_descend.png","public/instructional-images/yoga/partner-poses/partner_yoga_004_malasana_partner_step_03_descend.png","GERAR_NOVO_CANONICO â€” postura em dupla exige asset prÃ³prio","generated_new","True","1536","1024","True"
